"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PEM00084390","CAPITAN MONTES, PE","2023-11-01",,"23.5",,"16.8"
"PEM00084390","CAPITAN MONTES, PE","2023-11-02",,"22.5","27.6","16.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-03",,"23.1",,"15.6"
"PEM00084390","CAPITAN MONTES, PE","2023-11-04",,"23.2",,"16.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-05",,"23.4",,"16.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-06",,"23.2",,"15.8"
"PEM00084390","CAPITAN MONTES, PE","2023-11-07",,"23.9",,"16.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-08",,"23.9",,"16.4"
"PEM00084390","CAPITAN MONTES, PE","2023-11-09",,"23.7",,"16.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-10",,"23.7",,"16.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-11",,"24.1",,"16.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-12",,"24.2",,
"PEM00084390","CAPITAN MONTES, PE","2023-11-13",,"24.2",,"16.6"
"PEM00084390","CAPITAN MONTES, PE","2023-11-14",,"23.6",,"17.8"
"PEM00084390","CAPITAN MONTES, PE","2023-11-15","1.0","22.3",,"17.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-16","0.0","23.5",,"16.8"
"PEM00084390","CAPITAN MONTES, PE","2023-11-17",,"23.4","29.2","16.1"
"PEM00084390","CAPITAN MONTES, PE","2023-11-18",,"23.8",,"17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-11-19",,"24.9",,"17.4"
"PEM00084390","CAPITAN MONTES, PE","2023-11-20",,"24.7",,"17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-11-21",,"24.6",,"17.4"
"PEM00084390","CAPITAN MONTES, PE","2023-11-22",,"26.0",,"17.5"
"PEM00084390","CAPITAN MONTES, PE","2023-11-23",,"24.8",,"18.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-24",,"25.0",,"18.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-25",,"24.4",,"17.7"
"PEM00084390","CAPITAN MONTES, PE","2023-11-26",,"24.3",,"17.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-27",,"24.7",,"17.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-28",,"24.7",,"17.2"
"PEM00084390","CAPITAN MONTES, PE","2023-11-29",,"24.5",,"18.0"
"PEM00084390","CAPITAN MONTES, PE","2023-11-30",,"25.0",,"17.8"
"PEM00084390","CAPITAN MONTES, PE","2023-12-01",,"24.8",,"17.8"
"PEM00084390","CAPITAN MONTES, PE","2023-12-02",,"24.1",,"17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-12-03",,"24.5",,"17.5"
"PEM00084390","CAPITAN MONTES, PE","2023-12-04",,"24.9",,"17.0"
"PEM00084390","CAPITAN MONTES, PE","2023-12-05",,"25.1",,"17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-12-06",,"24.9",,"17.5"
"PEM00084390","CAPITAN MONTES, PE","2023-12-07",,"24.9",,"17.4"
"PEM00084390","CAPITAN MONTES, PE","2023-12-08",,"24.7",,"18.2"
"PEM00084390","CAPITAN MONTES, PE","2023-12-09",,"25.1",,"18.0"
"PEM00084390","CAPITAN MONTES, PE","2023-12-10",,"25.7",,"17.8"
"PEM00084390","CAPITAN MONTES, PE","2023-12-11",,"25.0",,"17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-12-12",,"25.8",,"17.8"
"PEM00084390","CAPITAN MONTES, PE","2023-12-13",,"26.4",,"18.0"
"PEM00084390","CAPITAN MONTES, PE","2023-12-14",,"25.7",,
"PEM00084390","CAPITAN MONTES, PE","2023-12-15",,"24.9",,"17.4"
"PEM00084390","CAPITAN MONTES, PE","2023-12-16",,"25.4",,"17.2"
"PEM00084390","CAPITAN MONTES, PE","2023-12-17",,"26.8",,"17.2"
"PEM00084390","CAPITAN MONTES, PE","2023-12-18",,"26.2","31.0","17.6"
"PEM00084390","CAPITAN MONTES, PE","2023-12-19",,"26.0",,
"PEM00084390","CAPITAN MONTES, PE","2023-12-20",,"25.4",,"17.0"
"PEM00084390","CAPITAN MONTES, PE","2023-12-21",,"26.3",,"17.4"
"PEM00084390","CAPITAN MONTES, PE","2023-12-22",,"24.6",,"17.0"
